WorkType,Summary,Description,Labels,Priority
Story,Minimal Deployment Path (DEV/TEST),"**User Story:** As a developer, I want a minimal repeatable deployment of PocketHive in DEV/TEST so that I can spin up the stack quickly without manual steps.

**Acceptance Criteria:**
- Single command (script or compose) starts the full stack locally.
- All core services (Orchestrator, Scenario Manager, RabbitMQ, UI proxy) are reachable after startup.
- README documents the exact steps required.",PocketHive,High
Story,Basic Smoke Test,"**User Story:** As a developer, I want automated smoke tests that run after deployment so that I can confirm the system is healthy before handing it to users.

**Acceptance Criteria:**
- Orchestrator, Scenario Manager, RabbitMQ, and UI health endpoints return 2xx.
- Smoke suite passes in CI without a running stack (skipped via JUnit assumptions).
- Smoke suite passes end-to-end when the stack is running.",PocketHive,High
Story,First Deploy + First Real Usage (1–2 users),"**User Story:** As a product owner, I want to deploy PocketHive to 1–2 real users so that I can validate the system works outside a developer laptop.

**Acceptance Criteria:**
- Stack is deployed to a shared environment accessible by pilot users.
- Users can log in, create a swarm, and start a scenario without developer assistance.
- No data-loss or crash-loop issues observed during the pilot session.",PocketHive,High
Story,Users + UI Integration (Auth + session),"**User Story:** As a user, I want to authenticate and maintain a session in the UI so that my actions are secure and my context is preserved across page refreshes.

**Acceptance Criteria:**
- Login flow is reachable from the UI entry point.
- Authenticated session persists across page reloads.
- Unauthenticated requests to protected routes are redirected to login.",PocketHive,High
Story,Manual Review and Test of New UI Features,"**User Story:** As a tester, I want to manually walk through new UI flows so that I can confirm they are coherent and usable before wider rollout.

**Acceptance Criteria:**
- All new UI flows are exercised end-to-end by a human reviewer.
- Findings are logged and triaged before the feature is marked done.
- No blocking usability issues remain open at sign-off.",PocketHive,High
Story,Stability Improvements,"**User Story:** As a user, I want the system to remain stable during normal usage so that I am not interrupted by unexpected crashes or restarts.

**Acceptance Criteria:**
- All P1 stability issues identified during pilot are resolved.
- No service enters a crash-loop under normal load.
- Regression smoke suite passes after fixes are applied.",PocketHive,High
Story,Error Surfacing Improvements,"**User Story:** As a user, I want clear error messages in the UI and logs so that I can understand what went wrong without needing developer access.

**Acceptance Criteria:**
- Swarm start/stop failures surface a human-readable message in the UI.
- Structured error details are present in service logs for every failure path.
- At least the top 3 error scenarios identified during pilot show improved messaging.",PocketHive,High
Story,Basic Observability (status + logs),"**User Story:** As an operator, I want to see service status and access logs from a single place so that I can diagnose issues quickly.

**Acceptance Criteria:**
- Grafana/Loki dashboards are accessible via the UI proxy.
- Each service emits structured JSON logs ingested by the log aggregator.
- Worker status (running/stopped/error) is visible in the Hive Dashboard.",PocketHive,High
Story,Define Manual UI Testing Approach,"**User Story:** As a QA lead, I want a documented approach for manual UI testing so that reviewers focus on usability and flow rather than pixel correctness.

**Acceptance Criteria:**
- Testing approach document covers scope, personas, and what constitutes a pass.
- Document distinguishes usability checks from functional correctness checks.
- Approach is reviewed and agreed by at least one developer and one stakeholder.",PocketHive,Medium
Story,Define Expected Outcomes of UI Testing,"**User Story:** As a stakeholder, I want defined success criteria for UI testing so that sign-off decisions are objective.

**Acceptance Criteria:**
- Success criteria cover clarity, flow coherence, and error handling visibility.
- Criteria are measurable (e.g. task completion without assistance).
- Document is linked from the testing approach.",PocketHive,Medium
Story,Define UI v2 Sub-page Use Cases,"**User Story:** As a designer/developer, I want documented use cases for each UI v2 sub-page so that testing and implementation stay aligned.

**Acceptance Criteria:**
- Each sub-page has at least one primary use case and one edge case documented.
- Use cases are reviewed against the current UI implementation.
- Gaps between documented use cases and implemented behaviour are logged as issues.",PocketHive,Medium
Story,Feedback Collection (HiveMind integration),"**User Story:** As a product owner, I want structured feedback collected from users via HiveMind so that I can prioritise improvements based on real usage.

**Acceptance Criteria:**
- HiveMind integration is reachable from the UI.
- Feedback submissions are stored and retrievable.
- At least one feedback entry is captured during the pilot.",PocketHive,Medium
Story,Smoke Test Expansion (real scenarios),"**User Story:** As a developer, I want smoke tests that exercise real swarm scenarios so that regressions in end-to-end flows are caught automatically.

**Acceptance Criteria:**
- At least one full swarm lifecycle (create → start → stop → remove) is covered.
- Tests use the e2e harness and run against a live stack in CI.
- Failures produce actionable output identifying the failing step.",PocketHive,Medium
Story,Architecture Tightening (workflows and clarity),"**User Story:** As a contributor, I want clear documentation of system workflows and component boundaries so that I can make changes confidently.

**Acceptance Criteria:**
- Key workflows (swarm lifecycle, control-plane signals, config propagation) are documented.
- Architecture diagrams in README/ARCHITECTURE.md reflect the current implementation.
- At least one AI-assisted review confirms the docs are internally consistent.",PocketHive,Medium
Story,UI ↔ Swarm Communication Refactor,"**User Story:** As a developer, I want the UI-to-Swarm communication layer refactored so that it is robust, testable, and easy to extend.

**Acceptance Criteria:**
- Refactored layer has clear contracts (interfaces/DTOs) between UI and backend.
- Existing UI flows continue to work after the refactor (no regression).
- Unit or integration tests cover the new communication path.",PocketHive,Low
Story,Data Set Extractor MCP (define requirements),"**User Story:** As a product owner, I want requirements and interface definitions for the Data Set Extractor MCP so that an external team can implement it without ambiguity.

**Acceptance Criteria:**
- Requirements document covers input sources, output format, and error handling.
- Public interface (API or protocol) is defined and reviewed.
- At least two concrete use cases are included to validate the interface design.",PocketHive,Low
